MASCARA;IES
1;3753
2;5369
3;151
4;1558
5;1712
6;1665
7;4007
8;1864
9;3411
10;1574
11;2428
12;1202
13;4961
14;2904
15;2910
16;1283
17;1818
18;809
19;4504
20;2364
21;1639
22;1840
23;5370
24;2342
25;2944
26;2389
27;1257
28;710
29;3760
30;4068
31;1599
32;5592
33;2230
34;1160
35;1986
36;1996
37;1816
38;2384
39;5242
40;3948
41;3388
42;1103
43;1454
44;2922
45;3434
46;1625
47;580
48;2485
49;2320
50;4786
51;5312
52;2368
53;3991
54;1501
55;1623
56;47
57;3486
58;952
59;17608
60;1273
61;1437
62;1097
63;1790
64;686
65;1303
66;3840
67;5215
68;1771
69;5593
70;3310
71;1498
72;719
73;5537
74;2120
75;2409
76;638
77;1036
78;1322
79;3840
80;4044
81;371
82;2148
83;1227
84;5663
85;1659
86;1243
87;201
88;1768
89;833
90;4522
91;2154
92;1841
93;5285
94;2145
95;2896
96;830
97;2843
98;846
99;1696
100;1144
101;2619
102;989
103;2343
104;3303
105;5314
106;882
107;1070
108;1544
109;5318
110;1816
111;2260
112;3186
113;508
114;1303
115;3192
116;1777
117;3420
118;5591
119;80
120;1195
121;1617
122;1537
123;1080
124;244
125;1836
126;3724
127;2475
128;4166
129;1231
130;1307
131;15057
132;4064
133;
134;662
135;4293
136;736
137;1463
138;1090
139;1886
140;2565
141;923
142;924
143;1572
144;3295
145;1613
146;757
147;3804
148;56
149;2571
150;1703
151;1559
152;2463
153;1422
154;5215
155;2474
156;455
157;967
158;1938
159;199
160;43
161;25275
162;3157
163;1819
164;2351
165;4584
166;1946
167;1865
168;1307
169;779
170;1694
171;595
172;1247
173;3215
174;4251
175;1536
176;4104
177;14165
178;131
179;1680
180;2045
181;741
182;3377
183;3793
184;3336
185;3194
186;2444
187;3472
188;615
189;1379
190;1381
191;801
192;4358
193;2365
194;2808
195;1563
196;890
197;1863
198;1266
199;5670
200;1254
201;3607
202;1590
203;23410
204;5592
205;1887
206;2173
207;2030
208;3840
209;5318
210;4218
211;473
212;1342
213;5473
214;4756
215;4421
216;2620
217;5555
218;3482
219;213
220;1835
221;701
222;1100
223;650
224;2813
225;775
226;1290
227;3490
228;2043
229;1968
230;5592
231;176
232;3804
233;1856
234;1896
235;1467
236;734
237;2491
238;2779
239;3176
240;1808
241;2594
242;2577
243;1866
244;1611
245;592
246;3826
247;5016
248;1365
249;5215
250;143
251;1637
252;459
253;4926
254;2344
255;1468
256;1428
257;2810
258;4008
259;2275
260;1926
261;26
262;3962
263;2573
264;2688
265;1396
266;2529
267;1240
268;502
269;3456
270;3371
271;3216
272;533
273;5439
274;465
275;5216
276;435
277;339
278;2844
279;1077
280;1606
281;1762
282;2484
283;3012
284;2332
285;3710
286;1658
287;2750
288;78
289;2560
290;14005
291;2082
292;1820
293;4530
294;1400
295;2855
296;
297;37
298;600
299;1326
300;1420
301;1709
302;1937
303;2772
304;1690
305;1381
306;2323
307;1479
308;1943
309;1478
310;3051
311;556
312;1486
313;2035
314;2494
315;977
316;1086
317;4199
318;1941
319;3165
320;866
321;194
322;1749
323;141
324;3854
325;2579
326;447
327;3614
328;3513
329;1569
330;2021
331;1807
332;1958
333;1609
334;2435
335;402
336;1966
337;2301
338;1645
339;1472
340;899
341;3279
342;3162
343;266
344;2098
345;666
346;2687
347;195
348;1948
349;1822
350;34
351;
352;2462
353;450
354;1500
355;2443
356;
357;5555
358;1940
359;2362
360;2941
361;2617
362;1621
363;142
364;2270
365;3862
366;4531
367;1175
368;2578
369;
370;5665
371;2499
372;1305
373;36
374;1547
375;3294
376;24
377;4030
378;518
379;
380;715
381;3513
382;2361
383;3189
384;718
385;3463
386;1802
387;4849
388;295
389;386
390;2129
391;720
392;3116
393;831
394;1758
395;2175
396;1051
397;40
398;5369
399;610
400;2123
401;2973
402;
403;761
404;3921
405;2151
406;1170
407;1711
408;700
409;5020
410;3663
411;1776
412;1686
413;2702
414;3151
415;681
416;27103
417;1583
418;4495
419;1524
420;13
421;4962
422;953
423;3193
424;3972
425;1780
426;99
427;126
428;4398
429;1989
430;3625
431;1504
432;15032
433;1596
434;3008
435;2582
436;5285
437;275
