MASCARA;IES
18;120050018
50;120050050
55;120050055
79;120050079
86;120050086
123;120050123
192;120050192
202;120050202
260;120050260
261;120050261
293;120050293
322;120050322
370;120050370
469;120050469
642;120050642
653;120050653
745;120050745
772;120050772
873;120050873
917;120050917
945;120050945
950;120050950
956;120050956
965;120050965
1033;120051033
1037;120051037
1038;120051038
1051;120051051
1091;120051091
1126;120051126
1171;120051171
1182;120051182
1251;120051251
1260;120051260
1279;120051279
1295;120051295
1302;120051302
1368;120051368
1554;120051554
1580;120051580
1588;120051588
1600;120051600
1608;120051608
1611;120051611
1619;120051619
1629;120051629
1657;120051657
1669;120051669
1690;120051690
1771;120051771
1775;120051775
1822;120051822
1829;120051829
1841;120051841
1908;120051908
2007;120052007
2018;120052018
2092;120052092
2139;120052139
2151;120052151
